,Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
177,Trinidad and Tobago,22522.0,25789,27122,28557,29489,26852,23505,23798,24322,23850
178,Tunisia,46210.0,48122,47311,48681,50273,45779,44360,42167,42687,41905
179,Turkey,776558.0,838508,880141,957504,938512,864071,869280,858932,779694,759450
180,Turkmenistan,34788.0,44070,49858,51301,55523,44060,41698,46365,48686,52961
181,Tuvalu,32.0,40,39,39,39,37,41,45,48,54
182,Uganda,24683.0,27501,30939,32331,33122,27650,29596,31402,34183,38055
183,Ukraine,136011.0,163059,175781,183310,133392,90922,93349,112127,130905,153904
184,United Arab Emirates,289787.0,350666,384610,400219,414105,370276,369255,390517,427049,417990
185,United Kingdom,2493844.0,2667317,2706822,2788128,3066819,2935506,2709678,2685637,2881845,2858728
186,United States,15048975.0,15599725,16253950,16843225,17550675,18206025,18695100,19477350,20533075,21380950
187,Uruguay,43780.0,52132,55701,62590,62280,57971,57335,64295,64541,61238
188,Uzbekistan,49772.0,60213,67520,73192,80848,85662,85658,62081,52870,60284
189,Vanuatu,652.0,738,736,755,774,744,775,880,929,930
190,Venezuela,318281.0,316482,372592,258931,214690,125449,112915,115883,102021,73003
191,Vietnam,143212.0,171312,195169,212728,232888,236795,252146,277071,304470,331818
192,Palestine,9682.0,11186,12208,13516,13990,13972,15405,16128,16277,17134
193,Yemen,30907.0,32726,35401,40415,43229,42444,31318,26842,21606,21888
194,Zambia,20264.0,23455,25502,28042,27145,21245,20965,25874,26312,23309
195,Zimbabwe,12042.0,14100,17116,19093,19499,19969,20555,21385,36945,26032
